Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
15947,40,8,118,8,30000,1,4,1,18.5,1197,82.85,5,430000
15949,61,17,85,11,58200,0,1,1,12.05,2179,120.0,8,465000
15950,34,8,54,3,10000,0,4,1,18.9,1197,81.86,5,475000
15951,66,18,13,4,45000,0,1,1,27.39,1248,74.0,5,675000
15952,27,7,25,6,64700,0,4,0,18.0,1497,117.3,5,690000
15954,100,27,71,6,39900,0,4,0,14.7,1798,177.5,5,935000
15955,68,18,24,4,54500,0,4,0,19.12,1373,91.1,5,730000
15957,27,7,25,9,60000,1,4,0,16.8,1497,116.4,5,425000
15959,76,18,88,11,80000,1,1,1,17.8,1248,75.0,5,270000
15960,68,18,24,6,35000,1,4,1,20.73,1373,91.1,5,600000
15961,30,7,99,3,68000,0,1,1,25.5,1498,98.6,5,955000
15962,67,18,23,2,52000,1,4,1,23.1,998,67.04,5,400000
15963,49,13,21,1,7000,0,1,0,14.11,2199,197.2,7,3250000
15964,67,18,23,3,15000,1,4,1,21.63,998,67.05,5,485000
15966,65,18,7,6,50000,1,4,1,22.74,796,47.3,5,230000
15967,97,25,64,5,38000,0,4,1,25.17,799,53.3,5,375000
15968,27,7,25,15,120000,1,4,1,17.7,1497,78.0,5,200000
15969,22,6,44,10,82000,1,1,1,20.0,1399,68.0,5,290000
15971,115,30,73,5,39000,0,1,1,20.14,1498,88.0,5,550000
15973,1,0,5,6,46821,0,1,0,17.68,1968,174.33,5,2200000
15975,115,30,73,3,50000,0,4,1,18.78,999,75.0,5,725000
15976,65,18,7,16,100000,1,4,1,19.7,796,46.3,5,100000
15977,113,29,60,5,60000,1,1,1,13.68,2393,147.8,7,1770000
15978,105,28,58,4,50000,1,1,0,17.6,2179,153.86,7,1223000
15982,28,7,26,14,20000,1,4,1,13.5,1799,130.0,5,265000
15983,21,6,41,5,89000,0,1,0,12.62,2198,158.0,7,2195000
15984,46,11,111,7,43000,0,1,0,16.36,2179,187.7,5,2075000
15985,61,17,85,7,113000,0,1,1,15.4,2523,75.0,7,685000
15986,29,7,61,5,49000,0,4,1,18.7,1199,88.7,5,575000
15987,116,30,95,8,45000,0,4,0,14.4,1598,103.6,5,465000
15988,111,29,45,4,55000,0,1,1,12.55,2982,168.5,7,2695000
15989,67,18,23,4,20000,1,0,1,31.79,998,58.33,5,475000
15990,115,30,73,5,29200,0,4,0,17.21,1197,103.5,5,790000
15991,0,0,4,9,60000,0,1,0,16.55,1968,147.51,5,1045000
15992,91,23,65,2,10000,1,1,1,19.39,1461,108.49,0,1154000
15994,87,21,47,5,40000,0,1,0,17.9,2143,168.0,5,3500000
15995,4,1,0,7,69000,0,1,0,18.88,1995,184.0,5,2150000
15996,76,18,88,5,54000,0,1,1,28.4,1248,74.0,5,610000
15998,101,27,77,7,65598,0,1,1,21.14,1498,103.6,5,465000
15999,65,18,7,12,80000,1,4,1,19.7,796,46.3,5,125000
16001,79,18,100,8,55000,0,0,1,26.6,998,58.16,5,265000
16004,73,18,42,5,40000,1,1,1,24.52,1248,88.5,7,810000
16005,111,29,45,7,151768,0,1,0,12.55,2982,168.7,7,1550000
16006,101,27,77,8,45000,1,4,1,15.0,1598,103.6,5,625000
16008,24,7,10,8,80000,1,1,1,25.8,1498,98.6,5,420000
16009,5,1,1,8,69000,0,1,0,18.12,1995,190.0,5,1575000
16010,27,7,25,6,110000,1,1,1,25.1,1498,98.6,5,730000
16011,36,8,94,4,70000,1,1,1,18.42,1995,182.46,5,1700000
16012,26,7,19,14,152358,0,4,0,10.1,2354,152.0,5,600000
16013,27,7,25,7,80633,0,1,1,26.0,1498,98.6,5,575000
16014,113,29,60,4,74030,0,1,1,13.68,2393,147.51,7,1150000
16015,62,17,90,2,5000,0,1,1,16.55,2498,105.0,6,975000
16017,79,18,100,6,25000,1,4,1,20.51,998,67.04,5,400000
16018,77,18,89,8,80000,1,1,1,23.4,1248,74.0,5,475000
16020,39,8,117,10,74703,0,4,0,16.95,1197,78.9,5,400000
16021,67,18,23,6,10000,1,4,0,23.1,998,67.04,5,410000
16022,40,8,118,3,10000,1,4,0,17.4,1197,81.86,5,750000
16023,79,18,100,11,150821,1,4,1,18.9,998,67.1,5,160000
16024,113,29,60,9,198000,0,1,1,12.8,2494,102.0,7,1125000
16025,40,8,118,4,18000,0,4,1,18.6,1197,81.83,5,725000
16026,20,6,38,7,71425,0,1,1,22.7,1498,89.84,5,571000
16028,22,6,44,9,48000,0,4,1,15.6,1196,70.0,5,295000
16029,100,27,71,14,120000,1,1,1,18.7,1896,66.0,5,271000
16032,5,1,1,5,75000,0,1,0,22.48,1995,187.74,5,2600000
16033,27,7,25,10,130000,0,4,1,17.0,1497,118.0,5,350000
16035,40,8,118,5,20000,0,4,1,17.0,1197,80.0,5,615000
16036,32,8,30,6,13000,0,4,1,15.29,1591,121.3,5,950000
16037,20,6,38,3,20000,1,1,1,23.0,1498,98.96,5,999000
16038,100,27,71,5,30000,0,4,0,14.7,1798,177.5,5,1050000
16039,77,18,89,6,19238,2,4,1,20.85,1197,83.14,5,490000
16041,76,18,88,3,38815,0,1,0,28.4,1248,74.0,5,775000
16044,102,27,87,10,71000,0,4,0,13.7,1798,157.75,5,465000
16045,111,29,45,4,66000,1,1,1,14.24,2755,174.5,7,2500000
16046,65,18,7,7,56641,0,4,1,22.05,796,47.3,5,185000
16047,77,18,89,7,90000,1,1,1,23.4,1248,74.0,5,465000
16048,79,18,100,9,70000,1,4,1,18.9,998,67.1,5,210000
16049,77,18,89,4,30000,0,1,1,28.4,1248,74.02,5,650000
16050,35,8,84,11,50503,0,4,1,17.92,1086,62.1,5,190000
